 s_racetraj_m,delta_s,psi_racetraj_rad,x_bound_l,x_bound_r,x_sampling,y_bound_l,y_bound_r,y_sampling
0,2.18483,3.11905,-12.7896,-14.4005,-14.1996,5.21197,5.281,5.27239
2.18483,0.792763,-3.0895,-12.9515,-14.4484,-14.2488,3.00447,3.1011,3.08822
2.97759,0.696739,-2.90922,-12.95,-14.45,-14.2076,2.29094,2.29831,2.29712
3.67433,0.675461,-2.68763,-12.9538,-14.4464,-14.0474,1.72939,1.58061,1.62038
4.34979,0.698794,-2.47403,-12.9822,-14.4178,-13.7519,1.24773,0.812881,1.01459
5.04858,0.813817,-2.29102,-13.1237,-14.2769,-13.3199,0.629953,-0.329294,0.466686
5.8624,0.698247,-2.10057,-12.4759,-12.9362,-12.7089,0.706355,-0.826022,-0.0694455
6.56065,0.65383,-1.88643,-12.0272,-12.1378,-12.1076,0.7381,-0.858075,-0.421618
7.21448,0.693769,-1.68802,-11.5016,-11.484,-11.4872,0.689949,-0.909955,-0.624213
7.90825,2.1581,-1.56217,-10.8312,-10.7944,-10.7991,0.689811,-0.909764,-0.705241
10.0664,2.22904,-1.54167,-8.63318,-8.64252,-8.64121,0.689984,-0.909988,-0.686628
12.2954,2.21452,-1.54458,-6.39054,-6.4181,-6.41312,0.691333,-0.911244,-0.621705
14.5099,2.1667,-1.56926,-4.18696,-4.20347,-4.19938,0.639994,-0.959921,-0.563645
16.6766,2.22104,-1.60005,-2.04909,-2.02737,-2.0328,0.639937,-0.959916,-0.56032
18.8977,2.18684,-1.60773,0.161398,0.194085,0.187249,0.639832,-0.959834,-0.625285
21.0845,2.2284,-1.59271,2.3761,2.37193,2.3726,0.643756,-0.963754,-0.706026
23.3129,2.16841,-1.57319,4.66827,4.59044,4.60041,0.63971,-0.959724,-0.75486
25.4813,0.678996,-1.54529,6.84551,6.7576,6.76881,0.645688,-0.965433,-0.760054
26.1603,0.69951,-1.37361,7.46036,7.44528,7.44734,0.641903,-0.9619,-0.742742
26.8598,0.6833,-1.1092,8.02785,8.16169,8.13162,0.650248,-0.970148,-0.606038
27.5431,0.670497,-0.867659,8.48681,8.91861,8.7415,0.636597,-0.955816,-0.302656
28.2136,0.681394,-0.755828,8.88001,10.1449,9.25228,0.547567,-0.870176,0.130314
28.895,0.670645,-0.556829,8.98851,10.6111,9.71926,0.854162,0.347007,0.62576
29.5656,0.692383,-0.313986,8.95386,10.6463,10.0729,1.29972,1.13956,1.19382
30.258,0.667029,-0.0933512,8.95005,10.5499,10.2862,1.86549,1.8477,1.85063
30.9251,2.19203,-0.000165099,8.94986,10.5499,10.3483,2.50857,2.51468,2.51391
33.1171,1.51915,0.0163858,8.95126,10.5488,10.3486,4.78297,4.69489,4.70593
34.6362,0.661892,0.19731,8.95013,10.5499,10.3238,6.201,6.22811,6.22428
35.2981,0.667389,0.426553,8.95378,10.5461,10.1942,6.75012,6.9068,6.87218
35.9655,0.693095,0.673456,9.02197,10.4777,9.91881,7.25543,7.61712,7.47826
36.6586,0.694085,0.868161,9.06703,10.4338,9.48761,7.76272,8.5945,8.01867
37.3527,0.66047,0.961622,8.712,9.42698,8.9582,7.97409,9.40546,8.46698
38.0132,0.698452,1.15712,8.29378,8.50024,8.41712,7.89665,9.48327,8.84449
38.7116,0.652099,1.36258,7.77226,7.78075,7.77881,7.89003,9.49001,9.12471
39.3637,0.683109,1.52612,7.17801,7.13567,7.14177,7.89027,9.48971,9.2593
40.0468,2.16888,1.58135,6.48423,6.45623,6.45973,7.89011,9.48987,9.28979
42.2157,2.23352,1.59359,4.28628,4.29178,4.29101,7.88994,9.48993,9.26691
44.4492,2.2103,1.58803,2.04381,2.06103,2.05808,7.89005,9.48995,9.21601
46.6595,2.15411,1.56538,-0.156794,-0.150679,-0.151872,7.89,9.48999,9.17793
48.8136,2.21261,1.54412,-2.28969,-2.31043,-2.30587,7.93847,9.54153,9.1896
51.0262,2.19291,1.54297,-4.50489,-4.52053,-4.51768,7.94004,9.53996,9.24861
53.2191,2.20126,1.55791,-6.73354,-6.70573,-6.70973,7.94015,9.53991,9.30962
55.4204,2.23301,1.58077,-8.99533,-8.89863,-8.91078,7.9415,9.53858,9.338
57.6534,0.656653,1.76115,-11.1612,-11.1392,-11.1431,7.97624,9.60377,9.31573
58.3101,0.656745,1.98724,-11.7088,-11.8126,-11.7868,7.99162,9.58825,9.19171
58.9668,0.686402,2.2188,-12.1868,-12.5258,-12.386,8.00793,9.57161,8.92668
59.6532,0.664733,2.32865,-12.6412,-13.5876,-12.9323,8.07195,9.50624,8.5131
60.3179,0.698829,2.51221,-12.8653,-14.3333,-13.4149,7.81811,8.45456,8.05638
61.0168,0.699275,2.75636,-12.8085,-14.3917,-13.8253,7.34463,7.5753,7.49277
61.716,0.673505,2.98894,-12.9006,-14.3994,-14.0874,6.79922,6.85883,6.84642
62.3896,0,3.1306,-12.9003,-14.4002,-14.1896,6.16843,6.1841,6.1819
